customer_name,cloud_account_number,product_name,usage_type,price_book,seller_cost_usd,customer_cost_usd,margin_usd,usage_quantity,fecha
Sourcing SPA (Andres Yelpi),18185109271,AWS Config,ConfigurationItemRecorded,AWS Price Book,0.15,0.15,0.005,50.0,2025-04-03
Sourcing SPA (Andres Yelpi),393937990371,AWS Config,USE1-ConfigRuleEvaluations,AWS Price Book,0.0,0.001,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),872780047379,AWS Config,USE1-ConfigRuleEvaluations,AWS Price Book,0.01,0.005,0.0,5.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,AWS Key Management Service,us-east-1-KMS-Requests,AWS Price Book,0.0,0.0,0.0,71.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,AWS Key Management Service,us-east-1-KMS-Requests,AWS Price Book,0.0,0.0,0.0,11.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS Key Management Service,us-west-1-KMS-Requests,AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Simple Queue Service,Requests-RBP,AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Simple Notification Service,APS1-Requests-Tier1,AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Simple Notification Service,Requests-Tier1,AWS Price Book,0.0,0.0,0.0,3.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Simple Storage Service,Requests-Tier2,AWS Price Book,0.0,0.0,0.0,136.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Simple Storage Service,Requests-Tier2,AWS Price Book,0.0,0.0,0.0,2.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Simple Storage Service,Requests-Tier1,AWS Price Book,0.0,0.002,0.0,315.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,Requests-Tier1,AWS Price Book,0.01,0.009,0.0,1743.0,2025-04-03
Sourcing SPA (Andres Yelpi),872780047379,Amazon Simple Storage Service,Requests-Tier1,AWS Price Book,0.01,0.011,0.0,2160.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Simple Storage Service,Requests-Tier1,AWS Price Book,0.0,0.0,0.0,1.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AmazonCloudWatch,DashboardsUsageHour,AWS Price Book,0.02,0.025,0.001,0.01,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AmazonCloudWatch,DashboardsUsageHour-Basic,AWS Price Book,0.0,0.0,0.0,0.01,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,AmazonCloudWatch,DashboardsUsageHour-Basic,AWS Price Book,0.0,0.0,0.0,0.01,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AmazonCloudWatch,CW:AlarmMonitorUsage,AWS Price Book,0.0,0.0,0.0,0.09,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,AmazonCloudWatch,CW:Requests,AWS Price Book,0.0,0.0,0.0,356.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AmazonCloudWatch,CW:MetricMonitorUsage,AWS Price Book,0.0,0.0,0.0,2.52,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Elastic Compute Cloud,DataTransfer-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.1,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS Lambda,DataTransfer-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.03,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Elastic Compute Cloud,DataTransfer-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.05,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,USE1-SAE1-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,USE1-APN1-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,USE1-APN3-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,USE1-USW1-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,AWS Lambda,USE1-CloudFront-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,AWS Support (Business),Dollar,AWS Price Book,0.36,0.355,0.0,3.55,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Simple Storage Service,Requests-Tier2,AWS Price Book,0.0,0.0,0.0,231.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Virtual Private Cloud,USE1-ClientVPN-EndpointHours,AWS Price Book,0.58,0.6,0.018,6.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,AWS Price Book,0.16,0.165,0.005,33.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Elastic Compute Cloud,DataTransfer-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.02,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Elastic Compute Cloud,USE1-USE2-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Elastic Compute Cloud,USE1-APS3-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Elastic Compute Cloud,USE1-APS1-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Elastic Compute Cloud,NatGateway-Hours,AWS Price Book,0.26,0.27,0.008,6.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Elastic Compute Cloud,NatGateway-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,AWS Price Book,0.06,0.06,0.002,12.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Amazon Virtual Private Cloud,USE1-PublicIPv4:IdleAddress,AWS Price Book,0.02,0.015,0.0,3.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Amazon Elastic Compute Cloud,USE1-USE2-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Amazon Elastic Compute Cloud,USE1-APS3-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),536079618115,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,AWS Price Book,0.07,0.075,0.002,15.0,2025-04-03
Sourcing SPA (Andres Yelpi),622323056157,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,AWS Price Book,0.06,0.06,0.002,12.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Amazon Virtual Private Cloud,USE2-PublicIPv4:InUseAddress,AWS Price Book,0.06,0.06,0.002,12.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Elastic Load Balancing,LoadBalancerUsage,AWS Price Book,0.13,0.135,0.004,6.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Elastic Load Balancing,LCUUsage,AWS Price Book,0.0,0.0,0.0,0.04,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Elastic Load Balancing,DataTransfer-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Elastic Load Balancing,USE1-USW2-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Elastic Load Balancing,USE1-USW1-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Elastic Load Balancing,USE1-USE2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),18185109271,Elastic Load Balancing,USE1-USW2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,DataTransfer-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.02,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,USE1-APN2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,USE1-EU-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,USE1-EU-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,USE1-EUW2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
